Star number,V mag (m),B Mag,CI =B-V
1,10.44,11.06,0.62
2,7.52,7.62,0.1
3,6.6,6.57,-0.03
4,7.97,8.15,0.18
5,5.09,5.01,-0.08
6,3.64,3.56,-0.08
7,8.12,8.34,0.22
8,11.35,12.13,0.78
9,6.95,7.07,0.12
10,10.91,11.77,0.86
11,9.05,9.54,0.49
12,10.02,10.58,0.56
13,8.27,8.63,0.36
14,9.25,9.8,0.55
15,9.88,10.42,0.54
16,7.66,7.87,0.21
17,10.48,11.12,0.64
18,6.81,6.87,0.06
19,2.87,2.78,-0.09
20,6.29,6.31,0.02
21,8.25,8.51,0.26
22,8.69,9.15,0.46
23,7.26,7.31,0.05
24,6.99,7.02,0.03
25,6.82,6.84,0.02
26,12.61,13.79,1.18
27,9.46,9.93,0.47
28,8.37,8.67,0.3
29,9.29,9.75,0.46
30,12.12,13.14,1.02
31,11.71,12.58,0.87
32,10.42,11.06,0.64
33,11.34,12.2,0.86
34,12.89,13.68,0.79
35,7.35,7.45,0.1
36,7.96,8.28,0.32
37,4.18,4.12,-0.06
38,9.7,10.25,0.55
39,5.76,5.72,-0.04
40,6.43,6.41,-0.02
41,8.6,8.95,0.35
42,11.27,12.19,0.92
43,3.88,3.81,-0.07
44,7.18,7.34,0.16
45,9.45,9.97,0.52
46,10.55,11.22,0.67
47,10.13,10.75,0.62
48,8.04,8.25,0.21
49,7.85,8.05,0.2
50,4.31,4.2,-0.11
51,10.39,11.02,0.63
52,5.46,5.42,-0.04
53,8.58,8.92,0.34
54,11.4,12.25,0.85
55,3.71,3.6,-0.11
56,10.81,11.61,0.8
57,11.93,12.87,0.94
